index,word,word_sense,hypernyms,hyponyms
82,fabric,fabric.n.01,artifact whole object physical entity entity,aba acrylic aertex alpaca baize basket weave batik batiste belting bombazine boucle broadcloth broadcloth brocade buckram bunting calico cambric camel's hair camlet camouflage canopy canvas cashmere cerecloth challis chambray chenille chiffon chino chintz coating cobweb cord cotton cotton flannel crepe cretonne crinoline damask denim diamante diaper dimity doeskin drapery duck duffel elastic etamine faille felt fiber flannel flannelette fleece foulard frieze fustian gabardine georgette gingham grogram grosgrain haircloth herringbone homespun hopsacking horsehair jaconet jacquard khadi khaki knit lace lame leatherette linen linsey-woolsey lint lisle mackinaw mackintosh madras marseille metallic mohair moire moleskin monk's cloth moquette moreen motley mousseline de sole muslin nankeen net ninon nylon oilcloth olive drab organza paisley panting pepper-and-salt percale permanent press piece of cloth pilot cloth pina cloth pinstripe pique plush polyester pongee poplin print quilting rayon rep sackcloth sacking sailcloth samite sateen satin satinet screening scrim seersucker serge shag shantung sharkskin sheeting shirting shirttail silesia silk spandex sponge cloth stammel suede cloth suiting swan's down taffeta tammy tapa tapestry tartan terry ticking toweling tweed twill upholstery material velcro velour velvet velveteen vicuna viyella voile wash-and-wear waterproof web webbing whipcord wincey wire cloth wool worsted yoke 
83,framework,framework.n.02,structure constitution property attribute abstraction entity,
84,act,act.n.01,legal document document writing written communication communication abstraction entity,decree legislative act nullity 
85,act,act.n.02,event psychological feature abstraction entity,acquiring action activity assumption causing communication delivery departure derivation discovery disposal distribution egress equalization exhumation forfeit group action hindrance hire implementation inactivity judgment leaning legitimation mitzvah motivation nonaccomplishment proclamation production propulsion recovery rejection residency running away speech act stay stop touch waste wear 
86,act,act.n.03,dramatic composition writing written communication communication abstraction entity,
87,act,act.n.04,performance show social event event psychological feature abstraction entity,show-stopper 
88,act,act.n.05,expression demonstration visual communication communication abstraction entity,
89,act,act.v.01, ,act on alternate antagonize anticipate attack begin behave behave coact come close come to the fore condescend condescend condescend continue continue continue cope court create dally dare deal dispatch do well effect egotrip evade exert finish up force get around to go go ahead go off half-cocked guard interact interrupt lord it over make a point make bold maneuver misbehave participate partner perform perpetrate play play play it by ear prosecute prosecute race rampage react react reciprocate repeat reward rush satisfice set about sneak stampede surprise take take care take time by the forelock try use volunteer wait woo 
90,act,act.v.02, ,act act involuntarily backslap break down bungle dally fall over backwards follow footle freeze frivol hugger mugger joke make make make as if menace optimize piffle play presume quack ramp relax romanticize sauce sentimentalise stooge swagger swell vulgarize wanton 
91,act,act.v.03,re-create make,act out emote enact impersonate make parody support 
92,act,act.v.04,serve work,bank criticize 
93,act,act.v.05,act,
94,act,act.v.06,be,
95,work,work.v.03,succeed,
96,act,act.v.08, ,drive around play walk around 
97,dissemble,dissemble.v.03, ,simulate 
98,act,act.v.10,perform re-create make,mime overact stooge underact 
99,beryllium,beryllium.n.01,metallic element chemical element substance matter physical entity entity,
99,beryllium,beryllium.n.01,metallic element chemical element substance part relation abstraction entity,
100,be,be.v.01, ,abound accept account account for act answer appear bake balance be well beat begin begin belong belong belong belong breathe buy clean cohere come in for come in handy compact compare confuse connect consist consist contain contain continue cost count count cover cut cut across deck depend deserve disagree distribute diverge draw end fall fall feel figure fit gape go gravitate hail hang head hold hoodoo hum impend incarnate iridesce jumble kill lend let go lie litter loiter look look lubricate make make sense measure mope object osculate owe pay point press promise prove put out rage range rank rate recognize relate remain represent rest retard run run into rut seem seethe sell sell sell shine shine sparkle specify squat stagnate stagnate stand stand stand by stay stay stick stink subtend suck suffer suffer suit swim swim swing tend test total translate transplant trim underlie want wash wind work 
101,be,be.v.02, ,
102,be,be.v.03, ,attend belong center on come cover extend face follow go inhabit lie lie occupy populate reach run sit sit stand back straddle stretch 
103,exist,exist.v.01, ,coexist come distribute dwell dwell endanger flow indwell kick around preexist prevail 
104,be,be.v.05, ,
105,equal,equal.v.01, ,equate match represent translate 
106,constitute,constitute.v.01, ,compose fall into form make present range supplement 
107,be,be.v.08, ,cox vet 
108,embody,embody.v.02,typify mean convey impart tell inform communicate interact act,body exemplify 
109,be,be.v.10,take use,
110,be,be.v.11, ,
111,be,be.v.12,stay be,
112,cost,cost.v.01,be,set back 
113,travel,travel.n.01,motion change action act event psychological feature abstraction entity,air travel circumnavigation commutation crossing driving journey junketing on the road peregrination riding stage staging traversal walk wandering water travel wayfaring 
114,change of location,change_of_location.n.01,movement happening event psychological feature abstraction entity,ascension circulation creep descent entrance fall flow gravitation levitation progress rise spread stampede translation 
115,locomotion,locomotion.n.02,motion change action act event psychological feature abstraction entity,brachiation crawl dance step gait jog lap run step stroke walk 
116,travel,travel.v.01, ,accompany advance angle ascend automobile back bang beetle betake oneself billow bounce breeze caravan career carry circle circle circuit circulate come come crawl cruise derail descend do drag draw drive drive ease fall fall ferry float float float flock fly fly follow follow forge get around ghost glide go around hiss hurtle island hop lance lurch outflank pace pan pass pass over play plow prance precede precess proceed propagate pursue push raft repair retreat retrograde return ride ride ride rise roll round run run rush scramble seek shuttle sift ski slice into slither snowshoe speed steamer step step step stray swap swash swim swim swing taxi trail tram transfer travel travel travel travel by travel purposefully travel rapidly trundle turn walk walk weave wend wheel whine whish whisk whistle withdraw zigzag zoom 
117,travel,travel.v.02,travel,globe-trot sledge tour trek trek voyage 
118,travel,travel.v.03, ,commute junketeer peregrinate ply travel travel to 
119,travel,travel.v.04,travel,cruise fly ride sail ship 
120,travel,travel.v.05,travel,fly hop ride 
121,travel,travel.v.06,travel,itinerate 
122,quality,quality.n.01,attribute abstraction entity,ability accuracy accuracy air amorality appearance arability asset attraction bad brachycephaly certainty changeableness changelessness characteristic clearness combustibility complexity comprehensibility constructiveness correctness counterfactuality credibility destructiveness difference difficulty directivity distinction divinity divisibility dolichocephaly domesticity ease elegance elegance ethnicity excellence expressiveness extraordinariness extremeness factuality fibrosity fidelity finiteness foreignness fruitfulness fruitlessness generality good hardness holiness hot stuff humaneness humanness humor ideality illogicality immateriality immobility immorality impenetrability impressiveness inability inaccuracy incomprehensibility incorrectness incredibility inelegance infidelity infiniteness inhumaneness insolubility inutility irregularity lawfulness logicality materiality memorability mobility morality naivete nativeness naturalness nature navigability neediness negativity occidentalism opacity ordinariness orientalism originality painfulness parental quality particularity pathos penetrability piquancy pleasantness popularity positivity power powerlessness probability protectiveness publicity quantifiability regularity relativity responsiveness romanticism salability sameness satisfactoriness simplicity snootiness soapiness solubility sophistication spinnability stuff stuffiness subjectivism sufficiency suitability tone ulteriority ultimate uncertainty unholiness unlawfulness unnaturalness unoriginality unpleasantness unpopularity unresponsiveness unsatisfactoriness unsuitability unwholesomeness urbanity utility virtu waxiness wholesomeness woodiness worth worthlessness 
123,quality,quality.n.02,degree property attribute abstraction entity,inferiority superiority 
124,quality,quality.n.03,property concept idea content cognition psychological feature abstraction entity,texture 
125,timbre,timbre.n.01,sound property property attribute abstraction entity,color harmonic nasality plangency register resonance shrillness 
126,quality,quality.n.05,social station status state attribute abstraction entity,
127,choice,choice.s.01, ,
128,quality,quality.s.02, ,
129,dish,dish.n.01,container instrumentality artifact whole object physical entity entity,bowl butter dish casserole coquille gravy boat petri dish ramekin serving dish sugar bowl watch glass 
129,dish,dish.n.01,crockery tableware ware article artifact whole object physical entity entity,bowl butter dish casserole coquille gravy boat petri dish ramekin serving dish sugar bowl watch glass 
130,dish,dish.n.02,nutriment food substance matter physical entity entity,adobo applesauce bacon and eggs barbecue barbecued spareribs barbecued wing beef bourguignonne beef stroganoff beef wellington biryani bitok boiled dinner boiled egg boston baked beans bubble and squeak buffalo wing burrito carbonnade flamande casserole chicken and rice chicken cordon bleu chicken kiev chicken marengo chicken paprika chicken provencale chili chop suey chow mein coq au vin coquille coquilles saint-jacques cottage pie couscous croquette curry custard deviled egg dolmas egg roll eggs benedict enchilada escalope de veau orloff falafel fish and chips fish stick fondue fondue french toast fried egg fried rice frittata frog legs galantine gefilte fish haggis ham and eggs hash jambalaya kabob kedgeree kishke lobster thermidor lutefisk macedoine maryland chicken meat loaf meatball mold moo goo gai pan moussaka mousse omelet osso buco paella pasta patty pepper steak pheasant under glass piece de resistance pilaf pizza poached egg poi pork and beans porridge potpie pudding ramekin refried beans rijsttaffel risotto rissole roulade salad salisbury steak sandwich plate sashimi sauerbraten sauerkraut saute scallopine scampi schnitzel scotch egg scotch woodcock scrambled eggs scrapple seafood newburg shirred egg side dish snack food souffle soup spaghetti and meatballs spanish rice special steak au poivre steak tartare stew stuffed cabbage stuffed peppers stuffed tomato stuffed tomato succotash sukiyaki sushi swiss steak taco tamale tamale pie tempura teriyaki terrine tetrazzini timbale tostada turnover veal cordon bleu veal parmesan viand welsh rarebit 
131,dish,dish.n.03,containerful indefinite quantity measure abstraction entity,
132,smasher,smasher.n.02,woman adult person causal agent physical entity entity,
132,smasher,smasher.n.02,woman adult person organism living thing whole object physical entity entity,
132,smasher,smasher.n.02,woman female person causal agent physical entity entity,
132,smasher,smasher.n.02,woman female person organism living thing whole object physical entity entity,
133,dish,dish.n.05,directional antenna antenna electrical device device instrumentality artifact whole object physical entity entity,scanner 
134,cup of tea,cup_of_tea.n.01,activity act event psychological feature abstraction entity,
135,serve,serve.v.06,provide give transfer,plank 
136,dish,dish.v.02,shape change,
137,sound,sound.n.01,sound property property attribute abstraction entity,noisiness ring unison voice 
138,sound,sound.n.02,sensation perception basic cognitive process process cognition psychological feature abstraction entity,dub music music noise tone 
139,sound,sound.n.03,mechanical phenomenon physical phenomenon natural phenomenon phenomenon process physical entity entity,ultrasound 
140,sound,sound.n.04,happening event psychological feature abstraction entity,beat beep bell bong buzz chink chirp chirrup chorus click-clack clip-clop cry ding drip drum footfall gargle gurgle jingle knock mutter noise paradiddle pat patter peal ping plunk pop purr quack quaver ring rub-a-dub sigh skirl song strum susurration swish tapping throbbing thrum thump thunk tick ting toot tootle trample twang vibrato voice vroom whack whir whistle whiz zing zizz 
141,audio,audio.n.01,auditory communication communication abstraction entity,
142,phone,phone.n.02,language unit part relation abstraction entity,consonant orinasal phone phoneme semivowel sonant vowel 
143,strait,strait.n.01,channel body of water thing physical entity entity,narrow 
144,sound,sound.n.08,body of water thing physical entity entity,
145,sound,sound.v.01,look be,
146,sound,sound.v.02,cause to be perceived,bang bleep blow blow boom boom buzz chatter chime chug clang clangor clank click clop crack crash drone drum glug guggle gurgle honk hum lap make noise patter ping pink pop rattle resonate resound ring ripple roll rumble rustle skirl snap snarl splash splat squelch tap thud tick ting tinkle trump twang tweet whish whistle whistle whizz 
147,sound,sound.v.03, ,cackel dissonate pierce play speak 
148,sound,sound.v.04,announce inform communicate interact act,
149,voice,voice.v.02,pronounce,chirk quaver 
150,sound,sound.v.06, ,blow clink gong play pop prepare ring strum ting twang 
151,fathom,fathom.v.02,quantify carry communicate interact act,
152,sound,sound.a.01, ,
153,healthy,healthy.s.04, ,
154,sound,sound.a.03, ,
155,good,good.s.17, ,
156,reasoned,reasoned.s.01, ,
157,legal,legal.s.03, ,
158,sound,sound.s.07, ,
159,heavy,heavy.s.26, ,
160,sound,sound.s.09, ,
161,vein,vein.n.01,blood vessel vessel tube structure body part part thing physical entity entity,accessory cephalic vein accessory hemiazygos vein accessory vertebral vein accompanying vein anastomotic vein angular vein anterior vertebral vein appendicular vein arcuate vein of the kidney auricular vein axillary vein azygos vein basal vein basilic vein basivertebral vein brachial vein brachiocephalic vein bronchial vein cardinal vein central vein of retina central vein of suprarenal gland central veins of liver cephalic vein cerebellar vein cerebral vein cervical vein choroid vein ciliary veins circumflex vein clitoral vein colic vein common facial vein conjunctival veins costoaxillary vein cutaneous vein cystic vein digital vein diploic vein dorsal scapular vein emissary vein epigastric vein esophageal veins ethmoidal vein external nasal vein facial vein femoral vein gastric vein gastroomental vein genicular vein gluteal vein hemizygos vein hemorrhoidal vein hepatic vein ileocolic vein iliac vein iliolumbar vein intercapitular vein intercostal vein intervertebral vein jugular vein labial vein labial vein labyrinthine vein lacrimal vein laryngeal vein lingual vein lumbar vein maxillary vein meningeal veins mesenteric vein metacarpal vein metatarsal vein musculophrenic vein nasofrontal vein oblique vein of the left atrium obturator vein occipital vein ophthalmic vein ovarian vein palatine vein pancreatic vein paraumbilical vein parotid vein pectoral vein perforating vein pericardial vein peroneal vein pharyngeal vein phrenic vein popliteal vein portal vein posterior vein of the left ventricle prepyloric vein pudendal vein pulmonary vein radial vein renal vein sacral vein saphenous vein scleral veins scrotal vein sigmoid vein spinal vein splenic vein sternocleidomastoid vein stylomastoid vein subclavian vein sublingual vein supraorbital vein supratrochlear vein temporal vein testicular vein thalamostriate vein thoracic vein thoracoepigastric vein thyroid vein tibial vein tracheal vein tympanic vein ulnar vein umbilical vein uterine vein varicose vein vein of penis vena bulbi penis vena bulbi vestibuli vena canaliculi cochleae vena cava venae interlobulares hepatis venae palpebrales venae renis venule vertebral vein vesical vein vestibular vein vortex vein 
162,vein,vein.n.02,expressive style communication abstraction entity,
163,vein,vein.n.03,vascular bundle vascular tissue plant tissue plant part natural object whole object physical entity entity,midrib 
164,vein,vein.n.04,geological formation object physical entity entity,bonanza 
165,vein,vein.n.05,rib structure body part part thing physical entity entity,
166,vein,vein.v.01,stain dye discolor change,
167,structure,structure.n.01,artifact whole object physical entity entity,airdock altar arcade arch area balance balcony balcony bascule boarding body bridge building building complex catchment coil colonnade column corner cross deathtrap defensive structure door entablature erection establishment false bottom floor fountain guide honeycomb house of cards housing hull jungle gym lamination landing lookout masonry memorial mound obstruction partition platform porch post and lintel prefab projection public works sail set-back shelter shoebox signboard stadium superstructure supporting structure tower transept trestlework vaulting ways wellhead wind tunnel 
168,structure,structure.n.02,constitution property attribute abstraction entity,computer architecture cytoarchitecture framework infrastructure 
169,structure,structure.n.03,cognition psychological feature abstraction entity,arrangement form morphology syntax 
170,structure,structure.n.04,body part part thing physical entity entity,alveolar bed apodeme aster ball blade bony labyrinth bridge bulb calyculus capsule carina cartilaginous structure cauda cavity centromere chiasma cingulum concha cornu corona costa cytoskeleton filament fold fundus funiculus germ gill arch gill slit glans gyrus head head horny structure infundibulum interstice lacrimal apparatus landmark layer lens nucleus limbus membranous labyrinth neural structure nucleolus organizer pad passage peristome plate plexus radicle receptor rib root rotator cuff skeletal structure syrinx tooth tube uvea valve vascular structure zone 
171,social organization,social_organization.n.01,system group abstraction entity,class structure feudalism matriarchy meritocracy patriarchy pluralism segregation 
172,structure,structure.v.01,organize arrange put move,restructure 
173,device,device.n.01,instrumentality artifact whole object physical entity entity,acoustic device adapter afterburner agglomerator airfoil alarm appliance applicator aspergill autopilot bait billiard marker bird feeder blower bootjack breathalyzer breathing device bubbler buffer catapult charger clip-on comb comforter conductor contraceptive converter corer corrective crusher cryptograph cutoff dampener damper deflector dental appliance depressor detector diestock drive drop forge elastic device electrical device electronic device energizer exercise device explosive device fan filter fire extinguisher flare fumigator gas fixture groover guard heat exchanger heater holding device horn hydrofoil imprint indicator instrument interlock interrupter jig key keyboard kinetoscope knocker lift lifting device lighter machine magnet mechanism memory device musical instrument nest egg noisemaker optical device override paper feed peeler pick power takeoff prod prompter pull reflector release remote control reset restraint router runner scratcher shoehorn shoetree shooting stick shredder signaling device snowshoe sounder source of illumination stabilizer stemmer straightener strengthener stylus suction cup support sweatbox synchroflash take-up teaser throwing stick tilter tongs toy trap trigger valve vaporizer ventilator washboard water cooler 
174,device,device.n.02,expressive style communication abstraction entity,conceit rhetorical device 
175,device,device.n.03,maneuver move decision choice action act event psychological feature abstraction entity,mnemonic trick 
176,device,device.n.04,design decoration artifact whole object physical entity entity,seal 
177,device,device.n.05,emblem design decoration artifact whole object physical entity entity,union 
178,medicine,medicine.n.01,medical science life science natural science science discipline knowledge domain content cognition psychological feature abstraction entity,allergology anesthesiology angiology bacteriology biomedicine biomedicine cardiology dentistry dermatology emergency medicine endocrinology epidemiology forensic medicine gastroenterology geriatrics gynecology hematology hygiene immunology internal medicine nephrology neurology neuropsychiatry nosology nuclear medicine obstetrics oncology ophthalmology otology pediatrics pharmacology pharmacy podiatry proctology prosthetics psychiatry rheumatology rhinolaryngology space medicine sports medicine therapeutics thoracic medicine traumatology tropical medicine urology veterinary medicine virology 
179,medicine,medicine.n.02,drug agent causal agent physical entity entity,acyclovir alendronate allopurinol amrinone analgesic angiogenesis inhibitor anti-inflammatory antiarrhythmic antibacterial anticholinergic anticholinesterase anticoagulant anticonvulsant antidepressant antidiabetic antidiarrheal antidiuretic antiemetic antihistamine antihypertensive antiprotozoal antipyretic antiseptic antispasmodic antitussive antiviral apc astringent atomic cocktail azathioprine blocker bronchodilator calcium blocker carminative clofibrate clopidogrel bisulfate cold medicine counterirritant cytotoxic drug decongestant demulcent diaphoretic disulfiram dose drixoral drug cocktail expectorant fixed-combination drug gemfibrozil hematinic herbal medicine histamine blocker immunosuppressant inhalant isoproterenol isosorbide lipid-lowering medicine methacholine nux vomica over-the-counter drug oxytocic paregoric patent medicine penicillamine pentylenetetrazol pharmaceutical placebo powder prescription drug probenecid purgative remedy rubefacient sedative soothing syrup specific sucralfate sudorific suppository tincture tonic tyrosine kinase inhibitor vermicide vermifuge 
179,medicine,medicine.n.02,drug agent substance matter physical entity entity,acyclovir alendronate allopurinol amrinone analgesic angiogenesis inhibitor anti-inflammatory antiarrhythmic antibacterial anticholinergic anticholinesterase anticoagulant anticonvulsant antidepressant antidiabetic antidiarrheal antidiuretic antiemetic antihistamine antihypertensive antiprotozoal antipyretic antiseptic antispasmodic antitussive antiviral apc astringent atomic cocktail azathioprine blocker bronchodilator calcium blocker carminative clofibrate clopidogrel bisulfate cold medicine counterirritant cytotoxic drug decongestant demulcent diaphoretic disulfiram dose drixoral drug cocktail expectorant fixed-combination drug gemfibrozil hematinic herbal medicine histamine blocker immunosuppressant inhalant isoproterenol isosorbide lipid-lowering medicine methacholine nux vomica over-the-counter drug oxytocic paregoric patent medicine penicillamine pentylenetetrazol pharmaceutical placebo powder prescription drug probenecid purgative remedy rubefacient sedative soothing syrup specific sucralfate sudorific suppository tincture tonic tyrosine kinase inhibitor vermicide vermifuge 
180,medicine,medicine.n.03,learned profession profession occupation activity act event psychological feature abstraction entity,alternative medicine complementary medicine preventive medicine 
181,music,music.n.05,punishment social control group action act event psychological feature abstraction entity,
181,music,music.n.05,punishment social control group action event psychological feature abstraction entity,
182,medicate,medicate.v.02,treat,drug salve 
183,condition,condition.n.01,state attribute abstraction entity,absolution anchorage astigmatism atmosphere atonicity automation brutalization celibacy circumstance climate comfort condemnation curvature danger decline deification despair difficulty discomfort dishabille disorderliness diversification diversity dominance dryness economic condition emptiness encapsulation ennoblement environmental condition exoneration eye condition facilitation financial condition frizz fruition fullness guilt hairlessness health homelessness hopefulness hospitalization hyalinization identification immunity impaction impropriety improvement impurity iniquity innocence ionization irradiation lactosuria laxness leakiness light lubrication malady mechanization mode motivation mummification mutism nakedness need niche noise conditions nomination normality orderliness participation physical condition place polarization prepossession preservation prognathism protuberance psychological state purity purity regularization reinstatement repair rustication rustiness safety sanitary condition saturation scandalization serration silence situation ski conditions soundness standardization stigmatism submission subservience susceptibility tension tilth unsoundness unsusceptibility urbanization vacuolization virginity way wetness 
184,condition,condition.n.02,premise postulate proposition statement message communication abstraction entity,boundary condition provision 
185,condition,condition.n.03,state attribute abstraction entity,amphidiploidy diploidy fortune haploidy heteroploidy invagination lysogeny mosaicism ordinary orphanage polyploidy roots stigmatism stratification transsexualism 
186,circumstance,circumstance.n.03,information cognition psychological feature abstraction entity,justification mitigating circumstance 
187,condition,condition.n.05,good health physical condition condition state attribute abstraction entity,fitness 
188,condition,condition.n.06,illness ill health pathological state physical condition condition state attribute abstraction entity,
189,condition,condition.n.07,statement message communication abstraction entity,
190,condition,condition.n.08,procedure activity act event psychological feature abstraction entity,
191,condition,condition.v.01,teach inform communicate interact act,
192,discipline,discipline.v.01,develop change,mortify 
193,stipulate,stipulate.v.01,contract promise declare state express,provide 
194,condition,condition.v.04,better change,recondition 
195,condition,condition.v.05,shampoo wash cleanse groom fancify better change,
196,flower,flower.n.01,angiosperm spermatophyte vascular plant plant organism living thing whole object physical entity entity,achimenes african daisy african daisy african daisy african violet ageratum ammobium anemone aster baby's breath bartonia begonia bellwort billy buttons blazing star bloomer blue-eyed african daisy blue daisy brass buttons bush violet butterfly flower calceolaria calendula calla lily candytuft cape marigold carolina spring beauty catananche centaury china aster christmas bells chrysanthemum cineraria columbine commelina composite coneflower coneflower coral drops cornflower corydalis cosmos cotton rose cowherb cyclamen dahlia daisy damask violet delphinium easter daisy fig marigold florest's cineraria four o'clock gazania gentian gerardia globe amaranth heliophila horn poppy kingfisher daisy lace-flower vine lesser celandine lychnis malcolm stock marigold mexican sunflower mistflower nigella orchid oxeye daisy painted daisy peony petunia pheasant's-eye pink poppy portulaca prairie rocket prairie rocket red valerian rocket larkspur rue anemone sandwort sandwort sandwort scabious scarlet musk flower schizopetalon scorpionweed shortia silene snapdragon soapwort sowbread spathiphyllum spring beauty stock stokes' aster streptocarpus sunflower swan river daisy sweet alyssum sweet sultan sweet sultan texas star tidytips toadflax tuberose umbrellawort ursinia valerian verbena veronica virginia spring beauty virginian stock wallflower wallflower wandflower western wall flower white-topped aster woodland star xeranthemum zinnia 
197,flower,flower.n.02,reproductive structure plant organ plant part natural object whole object physical entity entity,apetalous flower bud chrysanthemum floret inflorescence ray flower 
198,flower,flower.n.03,time period fundamental quantity measure abstraction entity,golden age 
199,bloom,bloom.v.01,develop grow increase change magnitude change,effloresce 
200,line,line.n.01,formation arrangement group abstraction entity,chorus diagonal linemen lineup rank rivet line row 
201,line,line.n.02,mark indication communication abstraction entity,ascender bar line cross hair descender dotted line graduation guideline hairline isometric line ledger line serif shaft spectrum line squiggle staff line trend line 
202,line,line.n.03,formation arrangement group abstraction entity,conga line diagonal file line of march line of succession picket line queue trap line 
203,line,line.n.04,shape attribute abstraction entity,boundary centerline curve curve geodesic perimeter straight line 
204,line,line.n.05,text matter writing written communication communication abstraction entity,actor's line bottom line by-line dateline heading line of poetry opening line orphan punch line sound bite verse 
205,line,line.n.06,electromagnetic radiation radiation energy physical phenomenon natural phenomenon phenomenon process physical entity entity,
206,line,line.n.07,military position point location object physical entity entity,battle line battlefront firing line line of battle 
207,argumentation,argumentation.n.02,reasoning thinking higher cognitive process process cognition psychological feature abstraction entity,casuistry line of inquiry policy 
208,cable,cable.n.02,conductor device instrumentality artifact whole object physical entity entity,coaxial cable electrical cable fiber optic cable power line printer cable 
209,course,course.n.02,series ordering arrangement group abstraction entity,stream 
210,line,line.n.11,location object physical entity entity,aclinic line agonic line axis crest danger line fault line flight line great circle hemline hipline hipline horizon isogonic line isogram latitude line of force line of sight lunar latitude part path path quadrant rhumb line side snow line timber line water line waterline watershed 
211,wrinkle,wrinkle.n.01,depression concave shape solid shape attribute abstraction entity,crow's foot dermatoglyphic frown line line of fate line of heart line of life 
212,pipeline,pipeline.n.02,pipe tube conduit passage way artifact whole object physical entity entity,gas line oil pipeline 
213,line,line.n.14,road way artifact whole object physical entity entity,branch line trunk line 
214,telephone line,telephone_line.n.02,connection instrumentality artifact whole object physical entity entity,digital subscriber line hot line land line party line private line toll line trunk line wats 
215,line,line.n.16,conformity cooperation group action act event psychological feature abstraction entity,
215,line,line.n.16,conformity cooperation group action event psychological feature abstraction entity,
216,lineage,lineage.n.01,genealogy kin social group group abstraction entity,family side 
217,line,line.n.18,artifact whole object physical entity entity,becket cord lanyard lifeline lifeline mooring painter ratline rope sheet shroud strand towline trace 
218,occupation,occupation.n.01,activity act event psychological feature abstraction entity,accountancy appointment career catering confectionery employment farming game metier photography position profession sport trade treadmill 
219,line,line.n.20,mark indication communication abstraction entity,balkline baseline finishing line foul line foul line foul line goal line red line scrimmage line service line sideline start yard line 
220,channel,channel.n.05,communication act event psychological feature abstraction entity,back channel lens liaison spiel 
221,line,line.n.22,merchandise commodity artifact whole object physical entity entity,sideline 
222,line,line.n.23,carrier business enterprise organization social group group abstraction entity,airline railway steamship company transit line 
223,agate line,agate_line.n.01,area unit unit of measurement definite quantity measure abstraction entity,
224,credit line,credit_line.n.01,credit assets possession relation abstraction entity,consumer credit 
225,tune,tune.n.01,music auditory communication communication abstraction entity,flourish glissando leitmotiv part roulade signature theme theme song 
226,line,line.n.27,persuasion communication act event psychological feature abstraction entity,
227,note,note.n.02,personal letter letter document representation creation artifact whole object physical entity entity,excuse 
227,note,note.n.02,personal letter letter text matter writing written communication communication abstraction entity,excuse 
228,line,line.n.29,differentiation discrimination basic cognitive process process cognition psychological feature abstraction entity,rubicon 
229,production line,production_line.n.01,mechanical system system instrumentality artifact whole object physical entity entity,
230,line,line.v.01,lie be,rim 
231,line,line.v.02,cover,babbitt crib face reline 
232,trace,trace.v.02,mark change,circumscribe circumscribe construct inscribe write 
233,line,line.v.04,score notch incise cut separate move,crisscross hatch reline 
234,line,line.v.05,fill change,
235,line,line.v.06,reinforce strengthen change,
236,remove,remove.n.01,distance spacing placement position relation abstraction entity,
237,remove,remove.v.01, ,ablate amputate aspirate bail bail out bone brush bur burl carve out chip away circumcise clean clean clean clean clear clear clear off condense crumb de-iodinate de-ionate decalcify decarbonize decorticate defang defuse degas dehorn delete delouse demineralize desorb detoxify dig discharge disembowel dislodge draw draw draw draw off dredge eliminate empty enucleate enucleate epilate excavate exenterate expectorate extirpate extract flick gut harvest head hull husk hypophysectomize knock out ladle leach leach lift lift lift muck pick pit pull ream resect scale scalp scavenge scoop seed shed shell shuck shuck skim spoon stem string strip strip strip strip strip take away take away take off take out tear away tip tusk unburden undock unhinge unpack unsaddle unstring unveil wash wear away weed winnow wipe off withdraw 
238,remove,remove.v.02, ,bench displace drop invalid oust pull off unseat winkle out 
239,get rid of,get_rid_of.v.01, ,cull deaerate decaffeinate decarbonate decerebrate dechlorinate defat defibrinate degrease deionize delist delocalize deoxygenate destain desulfurize detick devein discard dump fettle flense flesh kern pith scum slough off unbridle unmuzzle weed out work off 
240,take out,take_out.v.01, ,call in clear estrange 
241,remove,remove.v.05,transfer move,
242,absent,absent.v.01,disappear,
243,murder,murder.v.01,kill,burke execute 
244,remove,remove.v.08, ,wash away 
245,mineral,mineral.n.01,material substance matter physical entity entity,ader wax amblygonite amphibole amphibole group apatite aragonite argentite argyrodite arsenopyrite asphalt augite baddeleyite bastnasite bauxite beryl borax bornite carnallite cassiterite celestite cerussite chalcocite chalcopyrite chlorite chromite chrysoberyl cinnabar cobaltite columbite-tantalite cordierite corundom cristobalite crocolite cryolite cuprite dolomite earth color emery erythrite fergusonite fluorite gadolinite galena garnet garnierite germanite gibbsite glauconite greenockite gypsum halite hausmannite heavy spar hemimorphite ilmenite jadeite kainite kaolinite kernite kieserite kyanite langbeinite magnesite malachite maltha manganite meerschaum mica millerite molybdenite monazite nepheline nephelinite niobite nitrocalcite olivenite olivine opal ore orpiment osmiridium pentlandite periclase pinite pollucite psilomelane pyrite pyrolusite pyromorphite pyrophyllite pyroxene pyrrhotite quartz realgar red clay rhodochrosite rhodonite rutile samarskite sapphirine scheelite smaltite sodalite spar spinel spodumene stannite stibnite strontianite sylvanite sylvite talc tantalite thorite thortveitite topaz tourmaline tridymite turquoise vanadinite vermiculite vesuvianite wolframite wollastonite wulfenite wurtzite xenotime zeolite zinc blende zinkenite zircon 
